codigos;productos;uxb;fair_ventas;burzaco_ventas;a_korn_ventas;tucuman_ventas;fair_stock;burzaco_stock;a_korn_stock;tucuman_stock;cdistrib;ventas;stock
3986;ACEITE MOLTO GIRASOL AERO x120cc;6;11.5;1.66;9.66;0.0;0.0;4.5;5.66;0.0;0.0;22.83;10.16
463360;ACEITE MOLTO GIRASOL x5Lt;4;0.0;4.0;6.25;0.0;1.0;2.25;0.0;0.0;0.0;10.25;3.25
460958;ACEITE MOLTO GIRASOL x900ml;12;45.91;14.0;21.16;1.5;59.75;20.91;40.25;13.5;75.0;82.58;209.41
464098;ACEITE MOLTO MANTECA AERO x120ml;6;9.16;2.66;6.5;0.0;0.0;1.5;4.66;0.0;0.0;18.33;6.16
479767;ACEITE NANOSOL GIRASOL X900ML;12;0.0;0.0;0.0;0.0;5.33;0.0;1.91;0.0;0.0;0.0;7.25
2367;ACEITE NATURA GIRASOL AERO X 120G;12;2.5;1.41;1.08;0.0;0.0;1.0;3.41;0.0;0.0;5.0;4.41
103;ACEITE NATURA GIRASOL X5Lt;4;45.25;10.75;10.25;21.5;6.0;4.75;0.0;47.75;15.0;87.75;73.5
104;ACEITE NATURA GIRASOL x1.5Lt;12;39.0;12.41;16.25;10.16;97.83;13.83;16.83;60.08;36.0;77.83;224.58
101;ACEITE NATURA GIRASOL x3Lt.;6;0.0;0.33;0.0;4.16;1.0;0.0;2.0;2.66;0.0;4.5;5.66
102;ACEITE NATURA GIRASOL x900cc;15;8.4;3.73;0.66;5.66;3.06;1.46;0.0;21.0;0.0;18.46;25.53
3913;ACEITE OLIVA SOLERA DE PILAR X500cc;1;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;-1.0
20109;ACEITE PREMIER GIRASOL x900cc;12;261.5;43.66;218.16;33.75;188.91;12.16;23.66;74.91;1224.0;557.08;1523.66
7865;ACEITE PURO J&J BABY x100cc;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
465349;ACEITE REINO OLI/GIR x500ml;12;2.5;0.0;0.0;0.0;-8.0;0.0;0.0;0.0;0.0;2.5;-8.0
472911;ACEITE SIGLO DE ORO MEZCLA x900cc;12;0.75;0.0;0.0;0.0;77.58;26.0;55.25;0.0;0.0;0.75;158.83
471879;ACEITE VILLA MAZAN OLIVA VIDRIO X 50;12;9.75;2.5;5.41;1.08;53.91;3.33;0.0;4.58;150.0;18.75;211.83
475847;ACEITUNA MORANDO DESC VERDE DP X150g;15;37.33;6.13;17.39;2.46;28.66;4.59;8.19;2.53;28.0;63.33;72.0
471092;ACEITUNA MORANDO DESC VERDE X1.6kg;4;0.5;0.0;0.5;0.25;0.0;1.25;2.5;0.0;5.0;1.25;8.75
471083;ACEITUNA MORANDO DESC VERDE X4kg;1;2.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;5.0;3.0;11.0
