[110l

[2u[12c  
Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    1 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
[¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ DATOS DEL ANALISIS ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡] [¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ PORCENTAJES ¡¡¡¡¡¡¡¡¡¡¡¡¡¡]
       CAMPO            CODIGO            DESCRIPCION              TOTAL         NIVEL    NIV.6  NIV.5  NIV.4  NIV.3  NIV.2
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡
                                                                      51282,31 6  ****** 100,00                            
Sucursal             01          Fair   .                             25573,72 5  *****   49,87 100,00                     
Artículo             000001721   HARINA PUREZA LEUDANTE UF 1K            83,00 4  ****     0,16   0,32 100,00              
Artículo             000462882   QUESO RALLADO LA SERENISIMA             81,00 4  ****     0,16   0,32 100,00              
Artículo             000001718   HARINA PUREZA PIZZA C/LEVADU            80,00 4  ****     0,16   0,31 100,00              
Artículo             000009515   SAL FINA COLOSAL x500g                  79,00 4  ****     0,15   0,31 100,00              
Artículo             000000154   AGUA MINERAL VILLAMANAOS x2L            79,00 4  ****     0,15   0,31 100,00              
Artículo             000461356   GALL PROVIDENCIA AGUA x5un              77,00 4  ****     0,15   0,30 100,00              
Artículo             000002249   MAYONESA NATURA 250gr                   75,00 4  ****     0,15   0,29 100,00              
Artículo             000000159   AGUA MINERAL VILLAMANAOS x60            75,00 4  ****     0,15   0,29 100,00              
Artículo             000006599   CHOCOLATE MISKY NEGRO x25gr             70,00 4  ****     0,14   0,27 100,00              
Artículo             000012282   SALCHICHAS CHAMPIFIESTA x6un            69,00 4  ****     0,13   0,27 100,00              
Artículo             000008996   GASEOSA SECCO X3LT COLA COLA            69,00 4  ****     0,13   0,27 100,00              
Artículo             000462229   LECHE MAROLIO ENTERA LARGA V            67,00 4  ****     0,13   0,26 100,00              
Artículo             000002984   SALADIX PIZZA X 40G                     67,00 4  ****     0,13   0,26 100,00              
Artículo             000011379   YERBA MAÑANITA 500G                     66,00 4  ****     0,13   0,26 100,00              
Artículo             000003378   TOMATE TRIT. SABORES DEL VAL            65,00 4  ****     0,13   0,25 100,00              
Artículo             000479225   JUGO TUTTI X200ML MULTFRUTA             64,00 4  ****     0,12   0,25 100,00              
Artículo             000466633   CREMA DENT.ORAL B ANTI-CARIE            64,00 4  ****     0,12   0,25 100,00              
Artículo             000462748   PAPEL HIG CAMPANITA SOFT 4X3            64,00 4  ****     0,12   0,25 100,00              
Artículo             000001885   TOMATE PERITA MOLTO ENTERO X            64,00 4  ****     0,12   0,25 100,00              
Artículo             000477672   PAPAS FRITAS CLASICAS PEI-PO            63,00 4  ****     0,12   0,25 100,00              


Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    2 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
[¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ DATOS DEL ANALISIS ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡] [¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ PORCENTAJES ¡¡¡¡¡¡¡¡¡¡¡¡¡¡]
       CAMPO            CODIGO            DESCRIPCION              TOTAL         NIVEL    NIV.6  NIV.5  NIV.4  NIV.3  NIV.2
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡
Artículo             000003825   AGUA SAB. PLACER x500ml MANZ            63,00 4  ****     0,12   0,25 100,00              
Artículo             000004718   PAPEL HIG AZUL 1X80MTS 80m              62,00 4  ****     0,12   0,24 100,00              
Artículo             000000021   ARROZ DOS HERMANOS PARB x1kg            62,00 4  ****     0,12   0,24 100,00              
Artículo             000475784   GALL GOLD MUNDO POLVORON CHI            59,00 4  ****     0,12   0,23 100,00              
Artículo             000005180   YERBA CBSE x500g HIERB SERR             59,00 4  ****     0,12   0,23 100,00              
Artículo             000004427   ALF. COFLER BLOCK TRIPLE x1U            59,00 4  ****     0,12   0,23 100,00              
Artículo             000001527   GALL BAGLEY SURTIDO x400gr              58,00 4  ****     0,11   0,23 100,00              
Artículo             000000599   CACAO TODDY 180G                        58,00 4  ****     0,11   0,23 100,00              
Artículo             000001696   CHOCOLATE HAMLET BLANCO/COOK            56,00 4  ****     0,11   0,22 100,00              
Artículo             000475409   FIDEO SOL PAMPEANO VEGETAL x            55,00 4  ****     0,11   0,22 100,00              
Artículo             000006132   TOALL.FEM LADYSOFT NORMAL C/            55,00 4  ****     0,11   0,22 100,00              
Artículo             000001517   GALL OREO X118G                         55,00 4  ****     0,11   0,22 100,00              
Artículo             000000668   CALDO KNORR x12Un. VERDURA V            54,00 4  ****     0,11   0,21 100,00              
Artículo             000480709   ENCENDEDOR MECHITA x1Un.                53,00 4  ****     0,10   0,21 100,00              
Artículo             000012314   ROLLO DE COCINA LISS DECO 20            53,00 4  ****     0,10   0,21 100,00              
Artículo             000479111   ALF. LUKA LECHE/CHOC X90gr              52,00 4  ****     0,10   0,20 100,00              
Artículo             000469223   ARITOS DE CEBOLLA CAPULLITOS            52,00 4  ****     0,10   0,20 100,00              
Artículo             000004717   PAPEL HIG AZUL 4X80MT 80m               52,00 4  ****     0,10   0,20 100,00              
Artículo             000003206   ENERGIZANTE SPEED x269ml                52,00 4  ****     0,10   0,20 100,00              
Artículo             000001720   HARINA PUREZA 0000 U.FINA x1            52,00 4  ****     0,10   0,20 100,00              
Artículo             000001498   GALL MEDIA TARDE CLASICA X3U            52,00 4  ****     0,10   0,20 100,00              
Artículo             000472455   FIDEO SOL PAMPEANO MOÑOS X50            51,00 4  ****     0,10   0,20 100,00              
Artículo             000000017   ARROZ DOS HERMANOS L.F X 1KG            50,00 4  ****     0,10   0,20 100,00              
