464201;ARROZ MAROLIO PARBOLIZADO X 1KG;1899;0;0;0;0
464947;ARROZ PARBOLIZADO SUELTO TUCU;999;0;0;0;0
467316;ARROZ EL DIQUE L.F X 500G;499;0;0;0;0
467317;ARROZ EL DIQUE L.F X 1KG;1049;0;0;0;0
473106;ARROZ MARIA BLANCO L.F 1KG;1299;0;0;0;0
473211;ARROZ MARIA L.F 500G;699;0;0;0;869
474490;ARROZ MAROLIO DOBL CAROL 500G;999;0;0;0;0
476446;ARROZ DULCINEA L.F X500G;449;0;0;0;0
476605;ARROZ GALLO PARBO X1 KG;1890;0;0;0;0
478258;ARROZ VINCHA DE ORO L.F PAQ X1KG;899;0;0;0;0
478259;ARROZ MOCOVI DOBLE CAR EST x1kg;1399;0;0;0;0
478285;ARROZ MOCOVI L.F PAQ X500g;539;0;0;0;0
478286;ARROZ MOCOVI L.F ESTUCHE x500gr;559;0;0;0;0
478287;ARROZ MOCOVI L.F ESTUCHE x1kg;999;0;0;0;0
478288;ARROZ MOCOVI DOBLE CAR EST x500gr;699;0;0;0;0
478289;ARROZ MOCOVI DOBLE CAR PAQ x1kg;1399;0;0;0;0
478290;ARROZ MOCOVI DOBLE CAR PAQ x500gr;699;0;0;0;0
478291;ARROZ VINCHA DE ORO L.F X500G;449;0;0;0;0
478533;ARROZ CAROGRAN INTEGRAL 00000 x1Kg;999;0;0;0;0
1;FIDEO LUCCHETTI x500g PENNE RIGA;1099;0;0;0;1099
1366;FIDEO CHIETI MOÑO/NIDO X500g;1249;0;0;0;0
1370;FIDEO DON VICENTE CASER 500G;2599;0;0;0;0
1371;FIDEO DON VICENTE FETUCC 500G;2599;0;0;0;0
1372;FIDEO DON VICENTE TALL 500G;2599;0;0;0;0
1375;FIDEO PROVIDENCIA X500g DEDALITO;699;0;0;0;0
1376;FIDEO PROVIDENCIA X500g MOSTACHOL;759;0;0;0;0
1377;FIDEO PROVIDENCIA MOÑO X500g;1049;0;0;0;0
1379;FIDEO PROVIDENCIA X500g RIGATTI;759;0;0;0;0
1380;FIDEO PROVIDENCIA X500g SPAGHETTI;699;0;0;0;0
1381;FIDEO PROVIDENCIA X500g TALLARIN;699;0;0;0;0
1382;FIDEO PROVIDENCIA X500g TIRABUZON;759;0;0;0;0
1389;FIDEO LUCCHETTI X500G TALLARIN;1099;0;0;0;1099
1392;FIDEO LUCCHETTI x500g CODITO;1099;0;0;0;1099
1393;FIDEO LUCCHETTI x500g DEDALITO;1099;0;0;0;1099
1395;FIDEO LUCCHETTI LETRITAS X500GR;1099;0;0;0;0
1396;FIDEO LUCCHETTI x500g MOSTACHOL;1099;0;0;0;1099
1397;FIDEO LUCCHETTI X500G SPAGHETTI;1099;0;0;0;0
1398;FIDEO LUCCHETTI x500g TIRABUZON;1099;0;0;0;1099
1400;FIDEO MATARAZZO VARIOS X500g;1249;0;0;0;0
1402;FIDEO MATARAZZO DEDALIT 500G;1099;0;0;0;0
1404;FIDEO MATARAZZO x500g MOSTACHOL;1349;0;0;0;1299
1405;FIDEO MATARAZZO x500g RIGATTE;1349;0;0;0;0
1406;FIDEO MATARAZZO x500g SPAGHETTI;1349;0;0;0;1299
1407;FIDEO MATARAZZO x500g TALLARIN;1349;0;0;0;1299
1408;FIDEO MATARAZZO x500g TIRABUZON;1349;0;0;0;0
1409;FIDEO MOLTO X500g CELENTANO;849;0;0;0;0
1410;FIDEO MOLTO X500g CODO;849;0;0;0;0
1411;FIDEO MOLTO X500g DEDALITO;849;0;0;0;0
1412;FIDEO MATARAZZO x500g FORATTI;1149;0;0;0;0
1413;FIDEO MOLTO X500g MOST RAYAD;849;0;0;0;0
1414;FIDEO MOLTO MOÑO X500g;1399;0;0;0;0
1415;FIDEO MOLTO X500g RIGATTI;849;0;0;0;0
1416;FIDEO MOLTO X500g SPAGHETTI;849;0;0;0;0
1417;FIDEO MOLTO X500g TALLARIN;849;0;0;0;0
1418;FIDEO MOLTO X500g TIRABUZON;849;0;0;0;0
3538;FIDEO SAN AGUSTIN ÑOQUIS X500G;599;0;0;0;0
